repName,LTR_subclass,LTR_class
MLT1A,MLT1A,MLT1
MLT1A0,MLT1A,MLT1
MLT1A1,MLT1A,MLT1
MLT1B,MLT1B,MLT1
MLT1C,MLT1C,MLT1
MLT1D,MLT1D,MLT1
MLT1E,MLT1E,MLT1
MLT1E1,MLT1E,MLT1
MLT1E1A,MLT1E,MLT1
MLT1E2,MLT1E,MLT1
MLT1E3,MLT1E,MLT1
MLT1F,MLT1F,MLT1
MLT1F1,MLT1F,MLT1
MLT1F2,MLT1F,MLT1
MLT1G,MLT1G,MLT1
MLT1G1,MLT1G,MLT1
MLT1G3,MLT1G,MLT1
MLT1H,MLT1H,MLT1
MLT1H1,MLT1H,MLT1
MLT1H2,MLT1H,MLT1
MLT1I,MLT1I,MLT1
MLT1J,MLT1J,MLT1
MLT1J1,MLT1J,MLT1
MLT1J2,MLT1J,MLT1
MLT1K,MLT1K,MLT1
MLT1L,MLT1L,MLT1
MLT1M,MLT1M,MLT1
MLT1N2,MLT1N,MLT1
MLT1O,MLT1O,MLT1
MLT2B1,MLT2B,MLT2
MLT2B2,MLT2B,MLT2
MLT2B3,MLT2B,MLT2
MLT2B4,MLT2B,MLT2
MLT2B5,MLT2B,MLT2
MLT2C1,MLT2C,MLT2
MLT2C2,MLT2C,MLT2
MLT2D,MLT2D,MLT2
MLT2E,MLT2E,MLT2
MLT2F,MLT2F,MLT2
MLTR11A,MLTR11,MLTR
MLTR11B,MLTR11,MLTR
MLTR12,MLTR12,MLTR
MLTR13,MLTR13,MLTR
MLTR14,MLTR14,MLTR
MLTR18_MM,MLTR18,MLTR
MLTR18A_MM,MLTR18,MLTR
MLTR18B_MM,MLTR18,MLTR
MLTR18C_MM,MLTR18,MLTR
MLTR18D_MM,MLTR18,MLTR
MLTR25A,MLTR25,MLTR
MLTR25C,MLTR25,MLTR
MLTR31A_MM,MLTR31,MLTR
MLTR31C_MM,MLTR31,MLTR
MLTR31D_MM,MLTR31,MLTR
MLTR31E_MM,MLTR31,MLTR
MLTR31F_MM,MLTR31,MLTR
MLTR31FA_MM,MLTR31,MLTR
MLTR32C_MM,MLTR32,MLTR
MLTR73,MLTR73,MLTR
MT2_Mm,MT2,MT2
MT2A,MT2A,MT2
MT2B,MT2B,MT2
MT2B1,MT2B,MT2
MT2B2,MT2B,MT2
MT2C_Mm,MT2C,MT2
MTA_Mm,MTA,MT
MTB,MTB,MT
MTB_Mm,MTB2,MT
MTC,MTC,MT
MTD,MTD,MT
MTEa,MTE,MT
MTEb,MTE,MT
MTE2a,MTE2,MT
MTE2b,MTE2,MT
ORR1A0,ORR1A,ORR
ORR1A1,ORR1A,ORR
ORR1A2,ORR1A,ORR
ORR1A3,ORR1A,ORR
ORR1A4,ORR1A,ORR
ORR1B1,ORR1B,ORR
ORR1B2,ORR1B,ORR
ORR1C1,ORR1C,ORR
ORR1C2,ORR1C,ORR
ORR1D1,ORR1D,ORR
ORR1D2,ORR1D,ORR
ORR1E,ORR1E,ORR
ORR1F,ORR1F,ORR
ORR1G,ORR1G,ORR
LTR101_Mam,LTR101,LTR
LTR102_Mam,LTR102,LTR
LTR105_Mam,LTR105,LTR
LTR108a_Mam,LTR108,LTR
LTR108b_Mam,LTR108,LTR
LTR108c_Mam,LTR108,LTR
LTR108d_Mam,LTR108,LTR
LTR108e_Mam,LTR108,LTR
LTR16A,LTR16,LTR
LTR16A1,LTR16,LTR
LTR16B,LTR16,LTR
LTR16B1,LTR16,LTR
LTR16B2,LTR16,LTR
LTR16C,LTR16,LTR
LTR16D,LTR16,LTR
LTR16D1,LTR16,LTR
LTR16D2,LTR16,LTR
LTR16E1,LTR16,LTR
LTR16E2,LTR16,LTR
LTR32,LTR32,LTR
LTR33,LTR33,LTR
LTR33A,LTR33,LTR
LTR33A_,LTR33,LTR
LTR33B,LTR33,LTR
LTR33C,LTR33,LTR
LTR40a,LTR40,LTR
LTR40A1,LTR40,LTR
LTR40b,LTR40,LTR
LTR40c,LTR40,LTR
LTR41,LTR41,LTR
LTR41B,LTR41,LTR
LTR50,LTR50,LTR
LTR52,LTR52,LTR
LTR53,LTR53,LTR
LTR53B,LTR53,LTR
LTR69,LTR69,LTR
LTR75,LTR75,LTR
LTR75B,LTR75,LTR
LTR79,LTR79,LTR
LTR80A,LTR80,LTR
LTR80B,LTR80,LTR
LTR83,LTR83,LTR
LTR84a,LTR84,LTR
LTR84b,LTR84,LTR
LTR86A1,LTR86,LTR
LTR86A2,LTR86,LTR
LTR86B1,LTR86,LTR
LTR86B2,LTR86,LTR
LTR86C,LTR86,LTR
LTR91,LTR91,LTR
MER21B,MER21,MER
MER21C,MER21,MER
MER54A,MER54,MER
MER54B,MER54,MER
MER68,MER68,MER
MER68B,MER68,MER
MER68C,MER68,MER
MER70A,MER70,MER
MER70B,MER70,MER
MER73,MER73,MER
MER74A,MER74,MER
MER74B,MER74,MER
MER74C,MER74,MER
MER76,MER76,MER
MER77,MER77,MER
MER77B,MER77,MER
MER88,MER88,MER
RLTR28,RLTR28,RLTR
RLTR28B,RLTR28,RLTR
RLTR35B_MM,RLTR35,RLTR
RMER10A,RMER10,RMER
RMER10B,RMER10,RMER
RMER15,RMER15,RMER
