repName,category
LTR101_Mam,other
LTR102_Mam,other
LTR105_Mam,other
LTR108a_Mam,other
LTR108b_Mam,other
LTR108c_Mam,other
LTR108d_Mam,other
LTR108e_Mam,other
LTR16A,other
LTR16A1,other
LTR16B,other
LTR16B1,other
LTR16B2,other
LTR16C,other
LTR16D,other
LTR16D1,other
LTR16D2,other
LTR16E1,other
LTR16E2,other
LTR33,other
LTR33A,other
LTR33A_,other
LTR33B,other
LTR33C,other
LTR40a,other
LTR40A1,other
LTR40b,other
LTR40c,other
LTR41,other
LTR41B,other
LTR50,other
LTR52,other
LTR52-int,other
LTR53,other
LTR53B,other
LTR53-int,other
LTR69,other
LTR75,other
LTR75B,other
LTR79,other
LTR80A,other
LTR80B,other
LTR83,other
LTR84a,other
LTR84b,other
LTR86A1,other
LTR86A2,other
LTR86B1,other
LTR86B2,other
LTR86C,other
LTR91,other
MER21B,other
MER21C,other
MER54A,other
MER54B,other
MER68,other
MER68B,other
MER68C,other
MER68-int,other
MER70A,other
MER70B,other
MER73,other
MER74A,other
MER74B,other
MER74C,other
MER76,other
MER76-int,other
MER77,other
MER77B,other
MER88,other
MLT1A,MLT
MLT1A0,MLT
MLT1A0-int,MLT
MLT1A1,MLT
MLT1A1-int,MLT
MLT1A-int,MLT
MLT1B,MLT
MLT1B-int,MLT
MLT1C,MLT
MLT1C-int,MLT
MLT1D,MLT
MLT1D-int,MLT
MLT1E,MLT
MLT1E1,MLT
MLT1E1A,MLT
MLT1E1A-int,MLT
MLT1E1-int,MLT
MLT1E2,MLT
MLT1E2-int,MLT
MLT1E3,MLT
MLT1E3-int,MLT
MLT1E-int,MLT
MLT1F,MLT
MLT1F1,MLT
MLT1F1-int,MLT
MLT1F2,MLT
MLT1F2-int,MLT
MLT1F-int,MLT
MLT1G,MLT
MLT1G1,MLT
MLT1G1-int,MLT
MLT1G3,MLT
MLT1G3-int,MLT
MLT1G-int,MLT
MLT1H,MLT
MLT1H1,MLT
MLT1H1-int,MLT
MLT1H2,MLT
MLT1H2-int,MLT
MLT1H-int,MLT
MLT1I,MLT
MLT1I-int,MLT
MLT1J,MLT
MLT1J1,MLT
MLT1J1-int,MLT
MLT1J2,MLT
MLT1J2-int,MLT
MLT1J-int,MLT
MLT1K,MLT
MLT1K-int,MLT
MLT1L,MLT
MLT1L-int,MLT
MLT1M,MLT
MLT1N2,MLT
MLT1N2-int,MLT
MLT1O,MLT
MLT1O-int,MLT
MLT2B1,MLT
MLT2B2,MLT
MLT2B3,MLT
MLT2B4,MLT
MLT2B5,MLT
MLT2C1,MLT
MLT2C2,MLT
MLT2D,MLT
MLT2E,MLT
MLT2F,MLT
MLTR11A,other
MLTR11B,other
MLTR12,other
MLTR13,other
MLTR14,other
MLTR18A_MM,other
MLTR18B_MM,other
MLTR18C_MM,other
MLTR18D_MM,other
MLTR18_MM,other
MLTR25A,other
MLTR25C,other
MLTR31A_MM,other
MLTR31C_MM,other
MLTR31D_MM,other
MLTR31E_MM,other
MLTR31FA_MM,other
MLTR31F_MM,other
MLTR32C_MM,other
MLTR73,other
MT2A,MT2
MT2B,MT2
MT2B1,MT2
MT2B2,MT2
MT2C_Mm,MT2
MT2_Mm,MT2
MTA_Mm,MT
MTA_Mm-int,MT
MTB,MT
MTB-int,MT
MTB_Mm,MT
MTB_Mm-int,MT
MTC,MT
MTC-int,MT
MTD,MT
MTD-int,MT
MTE2a,MT
MTE2a-int,MT
MTE2b,MT
MTE2b-int,MT
MTEa,MT
MTEa-int,MT
MTEb,MT
MTEb-int,MT
ORR1A0,ORR1
ORR1A0-int,ORR1
ORR1A1,ORR1
ORR1A1-int,ORR1
ORR1A2,ORR1
ORR1A2-int,ORR1
ORR1A3,ORR1
ORR1A3-int,ORR1
ORR1A4,ORR1
ORR1A4-int,ORR1
ORR1B1,ORR1
ORR1B1-int,ORR1
ORR1B2,ORR1
ORR1B2-int,ORR1
ORR1C1,ORR1
ORR1C1-int,ORR1
ORR1C2,ORR1
ORR1C2-int,ORR1
ORR1D1,ORR1
ORR1D1-int,ORR1
ORR1D2,ORR1
ORR1D2-int,ORR1
ORR1E,ORR1
ORR1E-int,ORR1
ORR1F,ORR1
ORR1F-int,ORR1
ORR1G,ORR1
ORR1G-int,ORR1
RLTR28,other
RLTR28B,other
RLTR35B_MM,other
RMER10A,other
RMER10B,other
RMER15,other
RMER15-int,other
