#transId	geneId	source	chrom	start	end	strand	proteinId	geneName	transcriptName	geneType	transcriptType
ENSACHT00000000003	ENSACHG00000000004	ensembl	PVKX01000002.1	379839	512655	+	ENSACHP00000000002			protein_coding	protein_coding
ENSACHT00000000006	ENSACHG00000000006	ensembl	PVKX01000002.1	451439	452573	-	ENSACHP00000000004			protein_coding	protein_coding
ENSACHT00000000010	ENSACHG00000000010	ensembl	PVKX01000003.1	144808	146095	-	ENSACHP00000000008			protein_coding	protein_coding
ENSACHT00000000012	ENSACHG00000000011	ensembl	PVKX01000004.1	397205	397337	-				snoRNA	snoRNA
ENSACHT00000000013	ENSACHG00000000012	ensembl	PVKX01000007.1	62422	62647	+				processed_pseudogene	processed_pseudogene
ENSACHT00000000020	ENSACHG00000000020	ensembl	PVKX01000007.1	313751	316850	-	ENSACHP00000000015			protein_coding	protein_coding
ENSACHT00000000023	ENSACHG00000000025	ensembl	PVKX01000008.1	350436	350540	+				snRNA	snRNA
ENSACHT00000000033	ENSACHG00000000030	ensembl	PVKX01000009.1	374700	376305	-	ENSACHP00000000026			protein_coding	protein_coding
ENSACHT00000000073	ENSACHG00000000064	ensembl	PVKX01000012.1	29210	75111	-	ENSACHP00000000063			protein_coding	protein_coding
ENSACHT00000000092	ENSACHG00000000072	ensembl	PVKX01000012.1	74856	305451	+	ENSACHP00000000080			protein_coding	protein_coding
ENSACHT00000000094	ENSACHG00000000072	ensembl	PVKX01000012.1	74856	305451	+	ENSACHP00000000082			protein_coding	protein_coding
ENSACHT00000000099	ENSACHG00000000082	ensembl	PVKX01000012.1	135330	136074	-	ENSACHP00000000086			protein_coding	protein_coding
ENSACHT00000000109	ENSACHG00000000087	ensembl	PVKX01000012.1	329120	352294	-	ENSACHP00000000094			protein_coding	protein_coding
ENSACHT00000000127	ENSACHG00000000096	ensembl	PVKX01000013.1	84918	404065	+	ENSACHP00000000110			protein_coding	protein_coding
ENSACHT00000000140	ENSACHG00000000112	ensembl	PVKX01000013.1	165466	165608	+				snoRNA	snoRNA
ENSACHT00000000161	ENSACHG00000000122	ensembl	PVKX01000014.1	289333	380447	+	ENSACHP00000000136			protein_coding	protein_coding
ENSACHT00000000165	ENSACHG00000000122	ensembl	PVKX01000014.1	289333	380447	+	ENSACHP00000000139			protein_coding	protein_coding
ENSACHT00000000171	ENSACHG00000000140	ensembl	PVKX01000015.1	39092	126068	-	ENSACHP00000000143			protein_coding	protein_coding
ENSACHT00000000177	ENSACHG00000000144	ensembl	PVKX01000015.1	257217	346796	-	ENSACHP00000000148			protein_coding	protein_coding
ENSACHT00000000180	ENSACHG00000000144	ensembl	PVKX01000015.1	257217	268543	-	ENSACHP00000000151			protein_coding	protein_coding
ENSACHT00000000184	ENSACHG00000000147	ensembl	PVKX01000015.1	277323	277426	+				snRNA	snRNA
