seqnames,start,end,width,strand,element_name,LTR_class,fullName
chr8,114312045,114312411,367,-,MLT1A,MLT1,chr8:114312045-114312411:-|MLT1A|MLT1
chr2,53958887,53959261,375,+,MLT1B,MLT1,chr2:53958887-53959261:+|MLT1B|MLT1
chr18,77343728,77344109,382,-,MLT1B,MLT1,chr18:77343728-77344109:-|MLT1B|MLT1
chr2,73573460,73573859,400,+,MLT1B,MLT1,chr2:73573460-73573859:+|MLT1B|MLT1
chr16,85758985,85759475,491,-,MLT1D,MLT1,chr16:85758985-85759475:-|MLT1D|MLT1
chr3,84733567,84733972,406,-,MLT1B,MLT1,chr3:84733567-84733972:-|MLT1B|MLT1
chr10,52539902,52540262,361,-,MLT1A,MLT1,chr10:52539902-52540262:-|MLT1A|MLT1
chr16,24276746,24277094,349,-,MLT1A0,MLT1,chr16:24276746-24277094:-|MLT1A0|MLT1
chr4,144472654,144473029,376,-,MLT1B,MLT1,chr4:144472654-144473029:-|MLT1B|MLT1
chr10,107947699,107948078,380,+,MLT1B,MLT1,chr10:107947699-107948078:+|MLT1B|MLT1
chr6,143284399,143284790,392,+,MLT1B,MLT1,chr6:143284399-143284790:+|MLT1B|MLT1
chr13,18930187,18930567,381,-,MLT1B,MLT1,chr13:18930187-18930567:-|MLT1B|MLT1
chr2,60138517,60138893,377,+,MLT1A0,MLT1,chr2:60138517-60138893:+|MLT1A0|MLT1
chr18,15773743,15774341,599,-,MLT1E3,MLT1,chr18:15773743-15774341:-|MLT1E3|MLT1
chr2,102749082,102749430,349,-,MLT1A0,MLT1,chr2:102749082-102749430:-|MLT1A0|MLT1
chr10,64926361,64926848,488,+,MLT1D,MLT1,chr10:64926361-64926848:+|MLT1D|MLT1
chr2,78367447,78367802,356,-,MLT1A0,MLT1,chr2:78367447-78367802:-|MLT1A0|MLT1
chr19,23498449,23498797,349,-,MLT1A0,MLT1,chr19:23498449-23498797:-|MLT1A0|MLT1
chr12,30874788,30875160,373,+,MLT1A0,MLT1,chr12:30874788-30875160:+|MLT1A0|MLT1
chr15,71299084,71299446,363,-,MLT1A0,MLT1,chr15:71299084-71299446:-|MLT1A0|MLT1
chr4,45965176,45965539,364,+,MLT1A0,MLT1,chr4:45965176-45965539:+|MLT1A0|MLT1
chr3,13940695,13941042,348,-,MLT1A0,MLT1,chr3:13940695-13941042:-|MLT1A0|MLT1
chr10,90296265,90296639,375,-,MLT1A0,MLT1,chr10:90296265-90296639:-|MLT1A0|MLT1
chr14,72281063,72281423,361,-,MLT1A,MLT1,chr14:72281063-72281423:-|MLT1A|MLT1
chr14,70778669,70779020,352,-,MLT1A0,MLT1,chr14:70778669-70779020:-|MLT1A0|MLT1
chr4,20204884,20205337,454,+,MLT1C,MLT1,chr4:20204884-20205337:+|MLT1C|MLT1
chr11,64242705,64243083,379,-,MLT1B,MLT1,chr11:64242705-64243083:-|MLT1B|MLT1
chrX,19086266,19086756,491,+,MLT1D,MLT1,chrX:19086266-19086756:+|MLT1D|MLT1
chr9,119604950,119605412,463,-,MLT1C,MLT1,chr9:119604950-119605412:-|MLT1C|MLT1
chr15,13459868,13460239,372,+,MLT1A,MLT1,chr15:13459868-13460239:+|MLT1A|MLT1
chr2,158888830,158889225,396,-,MLT1A1,MLT1,chr2:158888830-158889225:-|MLT1A1|MLT1
chr18,79199361,79199711,351,-,MLT1A0,MLT1,chr18:79199361-79199711:-|MLT1A0|MLT1
chrX,133385552,133385963,412,-,MLT1I,MLT1,chrX:133385552-133385963:-|MLT1I|MLT1
chr10,9444942,9445323,382,+,MLT1B,MLT1,chr10:9444942-9445323:+|MLT1B|MLT1
chr11,91160329,91160679,351,-,MLT1A0,MLT1,chr11:91160329-91160679:-|MLT1A0|MLT1
chrX,153245250,153245630,381,+,MLT1B,MLT1,chrX:153245250-153245630:+|MLT1B|MLT1
chr13,35778042,35778397,356,-,MLT1A0,MLT1,chr13:35778042-35778397:-|MLT1A0|MLT1
chr18,26080862,26081210,349,+,MLT1A0,MLT1,chr18:26080862-26081210:+|MLT1A0|MLT1
chr4,53972393,53972933,541,+,MLT1H1,MLT1,chr4:53972393-53972933:+|MLT1H1|MLT1
chr18,88811052,88811501,450,-,MLT1C,MLT1,chr18:88811052-88811501:-|MLT1C|MLT1
chr11,66905217,66905646,430,+,MLT1J2,MLT1,chr11:66905217-66905646:+|MLT1J2|MLT1
chr3,27148005,27148377,373,+,MLT1B,MLT1,chr3:27148005-27148377:+|MLT1B|MLT1
chr3,84333887,84334233,347,-,MLT1A0,MLT1,chr3:84333887-84334233:-|MLT1A0|MLT1
chr18,66723203,66723575,373,+,MLT1B,MLT1,chr18:66723203-66723575:+|MLT1B|MLT1
chr4,111299949,111300314,366,-,MLT1A0,MLT1,chr4:111299949-111300314:-|MLT1A0|MLT1
chr1,84605609,84605983,375,+,MLT1B,MLT1,chr1:84605609-84605983:+|MLT1B|MLT1
chr4,110812359,110812734,376,-,MLT1B,MLT1,chr4:110812359-110812734:-|MLT1B|MLT1
chr9,77338225,77338613,389,-,MLT1A1,MLT1,chr9:77338225-77338613:-|MLT1A1|MLT1
